action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1737614,[],CHEMBL866006,Inhibition of BACE,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCc2ccc(cc2)CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,,,CHEMBL1137429,J Med Chem,2006,,,CHEMBL212357,,CHEMBL212357,,0,http://www.openphacts.org/units/Nanomolar,499608,>,1,1,>,,IC50,nM,,10000.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,10.0
,,1737624,[],CHEMBL866006,Inhibition of BACE,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCCCSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,,,CHEMBL1137429,J Med Chem,2006,,,CHEMBL211107,,CHEMBL211107,,0,http://www.openphacts.org/units/Nanomolar,499607,>,1,1,>,,IC50,nM,,10000.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,10.0
,,1737635,[],CHEMBL866006,Inhibition of BACE,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCCSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,,,CHEMBL1137429,J Med Chem,2006,"{'bei': '8.08', 'le': '0.17', 'lle': '1.95', 'sei': '3.27'}",,CHEMBL211432,,CHEMBL211432,4.77,0,http://www.openphacts.org/units/Nanomolar,499606,=,1,1,=,,IC50,nM,,16900.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,16.9
,,1737643,[],CHEMBL866006,Inhibition of BACE,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,,,CHEMBL1137429,J Med Chem,2006,"{'bei': '8.15', 'le': '0.17', 'lle': '2.27', 'sei': '3.22'}",,CHEMBL213301,,CHEMBL213301,4.70,0,http://www.openphacts.org/units/Nanomolar,499605,=,1,1,=,,IC50,nM,,20000.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,20.0
,,1738465,[],CHEMBL871431,Inhibition of BACE1 by FRET assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1cc(-c2ccccc2)ccc1N1CCNCC1)c1cc2ccccc2oc1=O.O=C(O)C(F)(F)F,,,CHEMBL1138092,J Med Chem,2006,"{'bei': '14.66', 'le': '0.27', 'lle': '2.12', 'sei': '8.36'}",,CHEMBL209632,,CHEMBL1164612,6.24,0,http://www.openphacts.org/units/Nanomolar,509985,=,1,1,=,,IC50,nM,,580.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,0.58
,,1738467,[],CHEMBL871431,Inhibition of BACE1 by FRET assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1cc(-c2ccccc2)ccc1N1CCN(Cc2ccccc2)CC1)c1cc2ccccc2oc1=O,,,CHEMBL1138092,J Med Chem,2006,"{'bei': '13.23', 'le': '0.24', 'lle': '0.79', 'sei': '10.37'}",,CHEMBL212578,,CHEMBL212578,6.82,0,http://www.openphacts.org/units/Nanomolar,509984,=,1,1,=,,IC50,nM,,151.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,0.151
,,1738469,[],CHEMBL871431,Inhibition of BACE1 by FRET assay,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)OC(=O)N1CCN(c2ccc(-c3ccccc3)cc2NC(=O)c2cc3ccccc3oc2=O)CC1,,,CHEMBL1138092,J Med Chem,2006,"{'bei': '9.51', 'le': '0.18', 'lle': '-0.77', 'sei': '5.43'}",,CHEMBL210451,,CHEMBL210451,5.00,0,http://www.openphacts.org/units/Nanomolar,509983,=,1,1,=,,IC50,nM,,10000.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,10.0
,,1738470,[],CHEMBL871431,Inhibition of BACE1 by FRET assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc2cc(C(=O)Nc3cc(Br)ccc3N3CCN(CCO)CC3)c(=O)oc12,,,CHEMBL1138092,J Med Chem,2006,"{'bei': '11.94', 'le': '0.26', 'lle': '3.07', 'sei': '6.30'}",,CHEMBL209052,,CHEMBL209052,6.00,0,http://www.openphacts.org/units/Nanomolar,509982,=,1,1,=,,IC50,nM,,1000.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,1.0
,,1738471,[],CHEMBL871431,Inhibition of BACE1 by FRET assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc2cc(C(=O)Nc3cc(Br)ccc3N3CCNCC3)c(=O)oc12.O=C(O)C(F)(F)F,,,CHEMBL1138092,J Med Chem,2006,"{'bei': '11.57', 'le': '0.25', 'lle': '2.07', 'sei': '6.33'}",,CHEMBL206557,,CHEMBL1165583,5.30,0,http://www.openphacts.org/units/Nanomolar,509981,=,1,1,=,,IC50,nM,,5000.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,5.0
,,1738472,[],CHEMBL871431,Inhibition of BACE1 by FRET assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc2cc(C(=O)Nc3cc(Br)ccc3N3CCN(Cc4ccccc4)CC3)c(=O)oc12,,,CHEMBL1138092,J Med Chem,2006,,,CHEMBL381617,,CHEMBL381617,,0,http://www.openphacts.org/units/Nanomolar,509980,>,1,1,>,,IC50,nM,,5000.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,5.0
